booking_id,hotel,lead_time,year,Month,Day,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,previous_cancellations,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,average_daily_rate,total_of_special_requests,reservation_status
100001,City Hotel,171,2023,December,19,4,6,2,0,1,NLD,Direct,GDS,0,4,Refundable,344,20,Group,164.31,4,Canceled
100002,Resort Hotel,221,2024,August,23,3,4,2,0,0,CAN,Online TA,TA/TO,1,3,No Deposit,259,44,Transient,172.23,2,Check-Out
100003,City Hotel,283,2024,April,26,2,3,1,2,1,FRA,Corporate,TA/TO,2,0,No Deposit,130,0,Contract,89.73,3,Canceled
100004,City Hotel,166,2023,November,12,4,2,3,1,0,NLD,Corporate,TA/TO,4,3,Refundable,230,33,Group,323.52,1,Check-Out
100005,City Hotel,281,2025,January,7,2,2,2,0,0,IND,Corporate,Corporate,1,4,Non Refund,347,47,Group,244.61,2,Check-Out
100006,City Hotel,363,2025,August,16,1,4,3,0,1,SGP,Online TA,Direct,2,2,Refundable,341,13,Group,243.55,5,Canceled
100007,City Hotel,128,2023,September,26,0,2,4,1,0,UAE,Direct,GDS,5,3,No Deposit,139,39,Contract,91.21,4,Canceled
100008,Resort Hotel,85,2024,February,19,4,5,3,1,0,IND,Offline TA/TO,Corporate,2,0,Non Refund,83,1,Contract,173.77,1,Canceled
100009,Resort Hotel,86,2024,August,10,0,7,3,0,0,NLD,Direct,GDS,5,4,No Deposit,51,2,Transient-Party,215.35,1,Canceled
100010,City Hotel,65,2025,May,5,2,5,4,0,1,IND,Offline TA/TO,Corporate,1,2,Non Refund,35,18,Transient-Party,260.83,3,Canceled
100011,Resort Hotel,139,2023,February,17,0,7,2,0,1,NLD,Groups,TA/TO,0,4,Refundable,128,49,Transient,276.02,5,Check-Out
100012,Resort Hotel,185,2025,March,12,0,3,3,0,0,IND,Offline TA/TO,Corporate,2,0,No Deposit,223,37,Group,263.65,5,Check-Out
100013,City Hotel,145,2025,January,10,1,5,3,1,0,IND,Direct,TA/TO,1,4,No Deposit,406,24,Group,279.18,1,Check-Out
100014,Resort Hotel,58,2023,March,24,3,2,1,2,1,SGP,Direct,TA/TO,2,1,Refundable,377,45,Transient,157.92,3,Check-Out
100015,City Hotel,6,2023,February,14,0,3,1,1,0,CAN,Direct,Corporate,3,2,Refundable,367,23,Contract,134.63,3,Canceled
100016,Resort Hotel,169,2024,January,22,2,3,4,0,0,FRA,Offline TA/TO,TA/TO,1,0,Refundable,360,45,Group,133.26,4,Check-Out
100017,City Hotel,193,2025,April,13,0,2,3,1,1,NLD,Online TA,TA/TO,1,1,Refundable,404,10,Group,276.1,5,Check-Out
100018,Resort Hotel,354,2025,May,4,3,4,1,2,0,SGP,Offline TA/TO,Corporate,2,2,Refundable,251,2,Group,67.32,2,Canceled
100019,Resort Hotel,76,2025,May,9,4,1,1,0,0,NLD,Direct,Corporate,3,0,No Deposit,172,22,Contract,226.97,2,Check-Out
100020,City Hotel,323,2025,July,9,1,1,4,1,1,DEU,Offline TA/TO,TA/TO,0,0,Refundable,299,42,Contract,335.83,5,Canceled
100021,City Hotel,150,2023,August,13,4,3,1,2,0,IND,Online TA,Direct,1,1,Non Refund,238,46,Group,226.68,3,Check-Out
100022,City Hotel,114,2023,July,25,1,5,3,2,0,IND,Direct,GDS,0,2,No Deposit,56,1,Transient-Party,275.69,0,Canceled
100023,Resort Hotel,145,2025,April,13,1,1,4,2,1,IND,Corporate,Direct,1,3,Refundable,387,40,Transient,308.94,1,Check-Out
100024,Resort Hotel,148,2025,February,14,1,3,3,0,0,USA,Corporate,Direct,5,1,No Deposit,439,2,Group,120.71,4,Canceled
100025,Resort Hotel,358,2025,October,17,2,2,2,0,0,NLD,Online TA,Corporate,4,4,No Deposit,293,42,Transient,298.04,1,Check-Out
100026,City Hotel,124,2025,December,10,3,7,1,1,0,UAE,Online TA,Direct,0,3,No Deposit,110,1,Transient,75.63,3,Check-Out
100027,Resort Hotel,141,2025,January,19,0,5,1,1,0,CAN,Offline TA/TO,GDS,1,1,Refundable,31,2,Transient-Party,155.24,1,Check-Out
100028,City Hotel,332,2025,July,27,3,6,3,0,1,USA,Groups,Corporate,5,2,Refundable,30,8,Transient-Party,308.22,1,Check-Out
100029,City Hotel,305,2025,June,19,4,4,3,1,0,FRA,Direct,Direct,3,4,Refundable,10,5,Transient,61.65,1,Check-Out
100030,City Hotel,339,2023,March,3,0,6,4,2,0,IND,Direct,TA/TO,5,2,Non Refund,363,49,Transient-Party,83.99,2,Canceled
100031,City Hotel,204,2025,October,26,2,2,4,2,1,GBR,Offline TA/TO,Corporate,5,2,Non Refund,486,2,Transient,285.79,5,Check-Out
100032,Resort Hotel,263,2025,April,20,0,6,3,2,0,DEU,Direct,TA/TO,5,1,Non Refund,491,11,Contract,66.48,1,Check-Out
100033,Resort Hotel,69,2024,June,20,4,1,1,1,1,IND,Online TA,Direct,1,0,No Deposit,213,16,Contract,99.77,2,Check-Out
