booking_id,hotel,lead_time,year,Month,Day,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,previous_cancellations,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,average_daily_rate,total_of_special_requests,reservation_status,total_stay,total_guests,booking_type
100001,City Hotel,171,2023,December,19,4.0,6.0,2,0,1,NLD,Direct,GDS,0.0,4.0,Refundable,344.0,20.0,Group,164.31,4.0,Canceled,10.0,3,Early Booking
100002,Resort Hotel,221,2024,August,23,3.0,4.0,2,0,0,CAN,Online TA,TA/TO,1.0,3.0,No Deposit,259.0,44.0,Transient,172.23,2.0,Check-Out,7.0,2,Early Booking
100003,City Hotel,283,2024,April,26,2.0,3.0,1,2,1,FRA,Corporate,TA/TO,2.0,0.0,No Deposit,130.0,0.0,Contract,89.73,3.0,Canceled,5.0,4,Early Booking
100004,City Hotel,166,2023,November,12,4.0,2.0,3,1,0,NLD,Corporate,TA/TO,4.0,3.0,Refundable,230.0,33.0,Group,323.52,1.0,Check-Out,6.0,4,Early Booking
100005,City Hotel,281,2025,January,7,2.0,2.0,2,0,0,IND,Corporate,Corporate,1.0,4.0,Non Refund,347.0,47.0,Group,244.61,2.0,Check-Out,4.0,2,Early Booking
100006,City Hotel,363,2025,August,16,1.0,4.0,3,0,1,SGP,Online TA,Direct,2.0,2.0,Refundable,341.0,13.0,Group,243.55,5.0,Canceled,5.0,4,Early Booking
100007,City Hotel,128,2023,September,26,0.0,2.0,4,1,0,UAE,Direct,GDS,5.0,3.0,No Deposit,139.0,39.0,Contract,91.21,4.0,Canceled,2.0,5,Early Booking
100008,Resort Hotel,85,2024,February,19,4.0,5.0,3,1,0,IND,Offline TA/TO,Corporate,2.0,0.0,Non Refund,83.0,1.0,Contract,173.77,1.0,Canceled,9.0,4,Last Minute
100009,Resort Hotel,86,2024,August,10,0.0,7.0,3,0,0,NLD,Direct,GDS,5.0,4.0,No Deposit,51.0,2.0,Transient-Party,215.35,1.0,Canceled,7.0,3,Last Minute
100010,City Hotel,65,2025,May,5,2.0,5.0,4,0,1,IND,Offline TA/TO,Corporate,1.0,2.0,Non Refund,35.0,18.0,Transient-Party,260.83,3.0,Canceled,7.0,5,Last Minute
100011,Resort Hotel,139,2023,February,17,0.0,7.0,2,0,1,NLD,Groups,TA/TO,0.0,4.0,Refundable,128.0,49.0,Transient,276.02,5.0,Check-Out,7.0,3,Early Booking
100012,Resort Hotel,185,2025,March,12,0.0,3.0,3,0,0,IND,Offline TA/TO,Corporate,2.0,0.0,No Deposit,223.0,37.0,Group,263.65,5.0,Check-Out,3.0,3,Early Booking
100013,City Hotel,145,2025,January,10,1.0,5.0,3,1,0,IND,Direct,TA/TO,1.0,4.0,No Deposit,406.0,24.0,Group,279.18,1.0,Check-Out,6.0,4,Early Booking
100014,Resort Hotel,58,2023,March,24,3.0,2.0,1,2,1,SGP,Direct,TA/TO,2.0,1.0,Refundable,377.0,45.0,Transient,157.92,3.0,Check-Out,5.0,4,Last Minute
100015,City Hotel,6,2023,February,14,0.0,3.0,1,1,0,CAN,Direct,Corporate,3.0,2.0,Refundable,367.0,23.0,Contract,134.63,3.0,Canceled,3.0,2,Last Minute
100016,Resort Hotel,169,2024,January,22,2.0,3.0,4,0,0,FRA,Offline TA/TO,TA/TO,1.0,0.0,Refundable,360.0,45.0,Group,133.26,4.0,Check-Out,5.0,4,Early Booking
100017,City Hotel,193,2025,April,13,0.0,2.0,3,1,1,NLD,Online TA,TA/TO,1.0,1.0,Refundable,404.0,10.0,Group,276.1,5.0,Check-Out,2.0,5,Early Booking
100018,Resort Hotel,354,2025,May,4,3.0,4.0,1,2,0,SGP,Offline TA/TO,Corporate,2.0,2.0,Refundable,251.0,2.0,Group,67.32,2.0,Canceled,7.0,3,Early Booking
100019,Resort Hotel,76,2025,May,9,4.0,1.0,1,0,0,NLD,Direct,Corporate,3.0,0.0,No Deposit,172.0,22.0,Contract,226.97,2.0,Check-Out,5.0,1,Last Minute
100020,City Hotel,323,2025,July,9,1.0,1.0,4,1,1,DEU,Offline TA/TO,TA/TO,0.0,0.0,Refundable,299.0,42.0,Contract,335.83,5.0,Canceled,2.0,6,Early Booking
100021,City Hotel,150,2023,August,13,4.0,3.0,1,2,0,IND,Online TA,Direct,1.0,1.0,Non Refund,238.0,46.0,Group,226.68,3.0,Check-Out,7.0,3,Early Booking
100022,City Hotel,114,2023,July,25,1.0,5.0,3,2,0,IND,Direct,GDS,0.0,2.0,No Deposit,56.0,1.0,Transient-Party,275.69,0.0,Canceled,6.0,5,Early Booking
100023,Resort Hotel,145,2025,April,13,1.0,1.0,4,2,1,IND,Corporate,Direct,1.0,3.0,Refundable,387.0,40.0,Transient,308.94,1.0,Check-Out,2.0,7,Early Booking
100024,Resort Hotel,148,2025,February,14,1.0,3.0,3,0,0,USA,Corporate,Direct,5.0,1.0,No Deposit,439.0,2.0,Group,120.71,4.0,Canceled,4.0,3,Early Booking
100025,Resort Hotel,358,2025,October,17,2.0,2.0,2,0,0,NLD,Online TA,Corporate,4.0,4.0,No Deposit,293.0,42.0,Transient,298.04,1.0,Check-Out,4.0,2,Early Booking
100026,City Hotel,124,2025,December,10,3.0,7.0,1,1,0,UAE,Online TA,Direct,0.0,3.0,No Deposit,110.0,1.0,Transient,75.63,3.0,Check-Out,10.0,2,Early Booking
100027,Resort Hotel,141,2025,January,19,0.0,5.0,1,1,0,CAN,Offline TA/TO,GDS,1.0,1.0,Refundable,31.0,2.0,Transient-Party,155.24,1.0,Check-Out,5.0,2,Early Booking
100028,City Hotel,332,2025,July,27,3.0,6.0,3,0,1,USA,Groups,Corporate,5.0,2.0,Refundable,30.0,8.0,Transient-Party,308.22,1.0,Check-Out,9.0,4,Early Booking
100029,City Hotel,305,2025,June,19,4.0,4.0,3,1,0,FRA,Direct,Direct,3.0,4.0,Refundable,10.0,5.0,Transient,61.65,1.0,Check-Out,8.0,4,Early Booking
100030,City Hotel,339,2023,March,3,0.0,6.0,4,2,0,IND,Direct,TA/TO,5.0,2.0,Non Refund,363.0,49.0,Transient-Party,83.99,2.0,Canceled,6.0,6,Early Booking
100031,City Hotel,204,2025,October,26,2.0,2.0,4,2,1,GBR,Offline TA/TO,Corporate,5.0,2.0,Non Refund,486.0,2.0,Transient,285.79,5.0,Check-Out,4.0,7,Early Booking
100032,Resort Hotel,263,2025,April,20,0.0,6.0,3,2,0,DEU,Direct,TA/TO,5.0,1.0,Non Refund,491.0,11.0,Contract,66.48,1.0,Check-Out,6.0,5,Early Booking
100033,Resort Hotel,69,2024,June,20,4.0,1.0,1,1,1,IND,Online TA,Direct,1.0,0.0,No Deposit,213.0,16.0,Contract,99.77,2.0,Check-Out,5.0,3,Last Minute
100034,Resort Hotel,23,2023,October,4,2.0,2.0,4,2,0,GBR,Offline TA/TO,TA/TO,2.0,3.0,No Deposit,429.0,2.0,Transient,288.22,2.0,Canceled,4.0,6,Last Minute
100035,City Hotel,241,2023,September,1,0.0,5.0,3,2,0,GBR,Corporate,TA/TO,2.0,1.0,Non Refund,162.0,2.0,Transient,340.33,4.0,Canceled,5.0,5,Early Booking
100036,City Hotel,279,2025,April,20,4.0,6.0,1,1,0,GBR,Direct,Direct,2.0,0.0,Non Refund,248.0,19.0,Transient,204.8,3.0,Check-Out,10.0,2,Early Booking
100037,Resort Hotel,275,2024,February,10,3.0,6.0,4,2,0,CAN,Groups,GDS,0.0,0.0,Non Refund,393.0,48.0,Group,51.84,2.0,Canceled,9.0,6,Early Booking
100038,City Hotel,140,2023,January,1,4.0,5.0,3,1,1,AUS,Corporate,TA/TO,1.0,4.0,No Deposit,25.0,34.0,Transient,246.57,1.0,Check-Out,9.0,5,Early Booking
100039,City Hotel,117,2025,October,26,0.0,3.0,1,2,1,DEU,Direct,Corporate,5.0,2.0,Refundable,250.0,29.0,Contract,240.47,4.0,Canceled,3.0,4,Early Booking
100040,Resort Hotel,353,2025,January,11,3.0,5.0,3,1,1,CAN,Corporate,GDS,5.0,4.0,Refundable,48.0,32.0,Transient,344.28,4.0,Check-Out,8.0,5,Early Booking
100041,City Hotel,327,2024,April,12,3.0,1.0,1,1,1,UAE,Offline TA/TO,Corporate,2.0,4.0,Non Refund,427.0,33.0,Transient-Party,89.14,3.0,Check-Out,4.0,3,Early Booking
100042,Resort Hotel,185,2025,October,22,2.0,3.0,3,2,1,NLD,Online TA,Direct,4.0,4.0,Refundable,201.0,3.0,Group,63.82,2.0,Check-Out,5.0,6,Early Booking
100043,City Hotel,161,2024,November,15,0.0,3.0,3,1,0,USA,Direct,Corporate,5.0,0.0,Refundable,479.0,25.0,Transient-Party,224.45,2.0,Canceled,3.0,4,Early Booking
100044,Resort Hotel,302,2025,May,14,4.0,4.0,4,2,0,SGP,Online TA,Direct,2.0,4.0,No Deposit,359.0,9.0,Contract,130.06,0.0,Canceled,8.0,6,Early Booking
100045,Resort Hotel,4,2023,December,14,0.0,7.0,2,1,1,USA,Corporate,TA/TO,0.0,1.0,Refundable,291.0,30.0,Transient,256.79,3.0,Canceled,7.0,4,Last Minute
100046,Resort Hotel,154,2025,July,26,4.0,1.0,3,1,0,DEU,Online TA,GDS,1.0,3.0,Non Refund,407.0,10.0,Group,94.88,2.0,Check-Out,5.0,4,Early Booking
100047,City Hotel,105,2025,March,2,3.0,5.0,3,1,1,FRA,Online TA,Corporate,1.0,2.0,Refundable,35.0,48.0,Contract,341.23,3.0,Check-Out,8.0,5,Early Booking
100048,City Hotel,158,2023,January,10,0.0,2.0,3,0,1,DEU,Online TA,Corporate,2.0,0.0,Refundable,123.0,17.0,Transient-Party,213.34,5.0,Canceled,2.0,4,Early Booking
100049,City Hotel,141,2025,September,8,3.0,7.0,1,2,1,DEU,Groups,TA/TO,2.0,0.0,No Deposit,214.0,7.0,Contract,253.05,3.0,Check-Out,10.0,4,Early Booking
100050,City Hotel,94,2023,May,15,1.0,4.0,1,1,0,UAE,Offline TA/TO,GDS,1.0,2.0,Refundable,216.0,33.0,Transient,270.64,5.0,Check-Out,5.0,2,Early Booking
100051,Resort Hotel,118,2024,January,24,0.0,3.0,1,1,0,SGP,Offline TA/TO,Corporate,4.0,0.0,No Deposit,143.0,42.0,Transient,148.58,2.0,Canceled,3.0,2,Early Booking
100052,Resort Hotel,215,2025,February,13,2.0,5.0,2,0,0,CAN,Direct,GDS,2.0,3.0,Non Refund,8.0,1.0,Group,133.01,0.0,Canceled,7.0,2,Early Booking
100053,City Hotel,354,2023,July,19,1.0,1.0,4,1,1,USA,Corporate,Corporate,2.0,3.0,Refundable,460.0,20.0,Transient,57.48,5.0,Check-Out,2.0,6,Early Booking
100054,City Hotel,251,2023,October,11,4.0,4.0,1,0,0,CAN,Corporate,TA/TO,2.0,1.0,No Deposit,475.0,24.0,Group,307.8,4.0,Canceled,8.0,1,Early Booking
100055,Resort Hotel,19,2023,March,21,1.0,1.0,4,1,0,USA,Direct,Direct,1.0,1.0,Refundable,333.0,2.0,Contract,148.61,3.0,Check-Out,2.0,5,Last Minute
